cod_ibge;municipio;qtd_leitos;qtd_uti
220225;Canavieira;4;0
220230;Canto do Buriti;13;0
220240;Capitão de Campos;4;0
220250;Caracol;5;0
220260;Castelo do Piauí;23;0
220270;Cocal;17;0
220277;Colônia do Piauí;3;0
220280;Conceição do Canindé;20;0
220290;Corrente;17;0
220300;Cristalândia do Piauí;12;0
220310;Cristino Castro;16;0
220320;Curimatá;19;0
220330;Demerval Lobão;16;0
220335;Dirceu Arcoverde;3;0
220350;Elesbão Veloso;20;0
220360;Eliseu Martins;8;0
220370;Esperantina;40;0
220380;Flores do Piauí;2;0
220390;Floriano;146;10
220400;Francinópolis;6;0
220410;Francisco Ayres;4;0
220420;Francisco Santos;6;0
220430;Fronteiras;15;0
220440;Gilbués;4;0
220450;Guadalupe;14;0
220470;Inhuma;6;0
220480;Ipiranga do Piauí;6;0
220490;Isaías Coelho;12;0
220500;Itainópolis;13;0
220510;Itaueira;8;0
220520;Jaicós;23;0
220530;Jerumenha;7;0
220540;Joaquim Pires;8;0
220545;Joca Marques;3;0
220550;José de Freitas;16;0
220553;Jurema;10;0
220555;Lagoa Alegre;6;0
220560;Landri Sales;7;0
220570;Luís Correia;35;0
220580;Luzilândia;30;0
220585;Madeiro;4;0
220590;Manoel Emídio;5;0
220595;Marcolândia;24;0
220610;Matias Olímpio;7;0
220620;Miguel Alves;16;0
220640;Monsenhor Gil;8;0
220650;Monsenhor Hipólito;10;0
220660;Monte Alegre do Piauí;15;0
220670;Nazaré do Piauí;4;0
220680;Nossa Senhora dos Remédios;6;0
220690;Novo Oriente do Piauí;5;0
220700;Oeiras;82;10
220720;Padre Marcos;38;0
220730;Paes Landim;8;0
220740;Palmeira do Piauí;3;0
220750;Palmeirais;10;0
220760;Parnaguá;9;0
220770;Parnaíba;422;55
220780;Paulistana;40;0
220790;Pedro II;36;0
220800;Picos;139;5
220810;Pimenteiras;8;0
220820;Pio IX;17;0
220830;Piracuruca;32;0
220840;Piripiri;72;10
220850;Porto;8;0
220855;Porto Alegre do Piauí;3;0
220860;Prata do Piauí;10;0
220870;Redenção do Gurgueia;11;0
220880;Regeneração;19;0
220890;Ribeiro Gonçalves;10;0
220900;Rio Grande do Piauí;2;0
220910;Santa Cruz do Piauí;11;0
220920;Santa Filomena;4;0
220937;Santa Rosa do Piauí;6;0
220940;Santo Antônio de Lisboa;3;0
220950;Santo Inácio do Piauí;2;0
220960;São Félix do Piauí;10;0
220970;São Francisco do Piauí;7;0
220980;São Gonçalo do Piauí;6;0
220990;São João da Serra;6;0
221000;São João do Piauí;46;0
221010;São José do Peixe;4;0
221020;São José do Piauí;5;0
221030;São Julião;11;0
221040;São Miguel do Tapuio;21;0
221050;São Pedro do Piauí;24;0
221060;São Raimundo Nonato;159;0
221065;Sigefredo Pacheco;8;0
221070;Simões;22;0
221080;Simplício Mendes;17;0
221090;Socorro do Piauí;6;0
221100;Teresina;2165;164
221110;União;34;0
221120;Uruçuí;26;0
221130;Valença do Piauí;27;0
221140;Várzea Grande;7;0
221170;Wall Ferraz;12;0
230010;Abaiara;1;0
230020;Acaraú;36;0
230030;Acopiara;66;0
230040;Aiuaba;19;0
230060;Altaneira;12;0
230070;Alto Santo;19;0
230075;Amontada;20;0
230080;Antonina do Norte;10;0
230090;Apuiarés;5;0
230100;Aquiraz;24;0
230110;Aracati;56;0
230120;Aracoiaba;37;0
230125;Ararendá;8;0
230130;Araripe;20;0
230140;Aratuba;6;0
230150;Arneiroz;8;0
230160;Assaré;31;0
230170;Aurora;44;0
230180;Baixio;11;0
230185;Banabuiú;11;0
230190;Barbalha;287;28
230195;Barreira;15;0
230200;Barro;16;0
230205;Barroquinha;5;0
230210;Baturité;28;0
230220;Beberibe;13;0
230230;Bela Cruz;12;0
230240;Boa Viagem;29;0
230250;Brejo Santo;124;10
230260;Camocim;38;0
230270;Campos Sales;55;0
230280;Canindé;72;0
230290;Capistrano;8;0
230300;Caridade;10;0
230310;Cariré;10;0
230320;Caririaçu;16;0
230330;Cariús;16;0
230340;Carnaubal;7;0
230350;Cascavel;40;0
230360;Catarina;9;0
230365;Catunda;14;0
230370;Caucaia;92;0
230380;Cedro;40;0
230390;Chaval;18;0
230393;Choró;10;0
230395;Chorozinho;6;0
230400;Coreaú;6;0
230410;Crateús;91;2
230420;Crato;321;35
230423;Croatá;25;0
230425;Cruz;35;0
230426;Deputado Irapuan Pinheiro;8;0
230427;Ereré;6;0
230428;Eusébio;30;0
230430;Farias Brito;24;0
230435;Forquilha;5;0
230440;Fortaleza;5676;579
230445;Fortim;9;0
230450;Frecheirinha;12;0
230460;General Sampaio;6;0
230470;Granja;32;0
230480;Granjeiro;16;0
230490;Groaíras;10;0
230495;Guaiúba;6;0
230500;Guaraciaba do Norte;30;0
230510;Guaramiranga;6;0
230520;Hidrolândia;11;0
230523;Horizonte;28;0
230526;Ibaretama;11;0
230530;Ibiapina;17;0
230533;Ibicuitinga;6;0
230535;Icapuí;10;0
230540;Icó;29;0
230550;Iguatu;136;6
230560;Independência;10;0
230565;Ipaporanga;8;0
230570;Ipaumirim;17;0
230580;Ipu;69;0
