uf,city,estimated_population
TO,Dois Irmãos do Tocantins,7198
TO,Dueré,4686
TO,Esperantina,10996
TO,Fátima,3835
TO,Figueirópolis,5263
TO,Filadélfia,8856
TO,Formoso do Araguaia,18440
TO,Fortaleza do Tabocão,2589
TO,Goianorte,5123
TO,Goiatins,13019
TO,Guaraí,25923
TO,Gurupi,86647
TO,Ipueiras,2015
TO,Itacajá,7433
TO,Itaguatins,5864
TO,Itapiratins,3777
TO,Itaporã do Tocantins,2427
TO,Jaú do Tocantins,3849
TO,Juarina,2193
TO,Lagoa da Confusão,13357
TO,Lagoa do Tocantins,4316
TO,Lajeado,3134
TO,Lavandeira,1923
TO,Lizarda,3740
TO,Luzinópolis,3108
TO,Marianópolis do Tocantins,5175
TO,Mateiros,2684
TO,Maurilândia do Tocantins,3426
TO,Miracema do Tocantins,18248
TO,Miranorte,13434
TO,Monte do Carmo,7947
TO,Monte Santo do Tocantins,2279
TO,Palmeiras do Tocantins,6658
TO,Muricilândia,3551
TO,Natividade,9244
TO,Nazaré,3898
TO,Nova Olinda,11819
TO,Nova Rosalândia,4260
TO,Novo Acordo,4342
TO,Novo Alegre,2332
TO,Novo Jardim,2722
TO,Oliveira de Fátima,1112
TO,Palmeirante,6026
TO,Palmeirópolis,7659
TO,Paraíso do Tocantins,51252
TO,Paranã,10449
TO,Pau D'Arco,4849
TO,Pedro Afonso,13578
TO,Peixe,11749
TO,Pequizeiro,5477
TO,Colméia,8205
TO,Pindorama do Tocantins,4447
TO,Piraquê,3028
TO,Pium,7654
TO,Ponte Alta do Bom Jesus,4596
TO,Ponte Alta do Tocantins,8039
TO,Porto Alegre do Tocantins,3139
TO,Porto Nacional,53010
TO,Praia Norte,8432
TO,Presidente Kennedy,3684
TO,Pugmil,2688
TO,Recursolândia,4293
TO,Riachinho,4645
TO,Rio da Conceição,2130
TO,Rio dos Bois,2834
TO,Rio Sono,6478
TO,Sampaio,4711
TO,Sandolândia,3375
TO,Santa Fé do Araguaia,7512
TO,Santa Maria do Tocantins,3434
TO,Santa Rita do Tocantins,2365
TO,Santa Rosa do Tocantins,4829
TO,Santa Tereza do Tocantins,2866
TO,Santa Terezinha do Tocantins,2529
TO,São Bento do Tocantins,5324
TO,São Félix do Tocantins,1585
TO,São Miguel do Tocantins,12139
TO,São Salvador do Tocantins,3082
TO,São Sebastião do Tocantins,4805
TO,São Valério,3960
TO,Silvanópolis,5403
TO,Sítio Novo do Tocantins,9029
TO,Sucupira,1966
TO,Taguatinga,16683
TO,Taipas do Tocantins,2148
TO,Talismã,2793
TO,Palmas,299127
TO,Tocantínia,7545
TO,Tocantinópolis,22870
TO,Tupirama,1891
TO,Tupiratins,2671
TO,Wanderlândia,11683
TO,Xambioá,11540
MA,Açailândia,112445
MA,Afonso Cunha,6524
MA,Água Doce do Maranhão,12571
MA,Alcântara,22097
MA,Aldeias Altas,26532
MA,Altamira do Maranhão,8128
MA,Alto Alegre do Maranhão,27053
MA,Alto Alegre do Pindaré,31919
MA,Alto Parnaíba,11190
MA,Amapá do Maranhão,6962
MA,Amarante do Maranhão,41435
MA,Anajatuba,26803
MA,Anapurus,15732
MA,Apicum-Açu,17239
MA,Araguanã,15426
MA,Araioses,46440
MA,Arame,32701
MA,Arari,29848
MA,Axixá,12130
MA,Bacabal,104949
MA,Bacabeira,17055
MA,Bacuri,18582
MA,Bacurituba,5644
MA,Balsas,94887
MA,Barão de Grajaú,18820
MA,Barra do Corda,88212
MA,Barreirinhas,62528
MA,Belágua,7469
MA,Bela Vista do Maranhão,11209
MA,Benedito Leite,5632
MA,Bequimão,21280
MA,Bernardo do Mearim,6043
MA,Boa Vista do Gurupi,9287
MA,Bom Jardim,41630
MA,Bom Jesus das Selvas,34028
MA,Bom Lugar,16294
MA,Brejo,36397
MA,Brejo de Areia,9188
MA,Buriti,28678
MA,Buriti Bravo,23884
MA,Buriticupu,72358
MA,Buritirana,15430
MA,Cachoeira Grande,9431
MA,Cajapió,11177
MA,Cajari,19379
MA,Campestre do Maranhão,14374
MA,Cândido Mendes,20178
MA,Cantanhede,21995
MA,Capinzal do Norte,10934
MA,Carolina,24322
MA,Carutapera,23807
MA,Caxias,164880
MA,Cedral,10675
MA,Central do Maranhão,8673
MA,Centro do Guilherme,13458
MA,Centro Novo do Maranhão,21622
MA,Chapadinha,79675
MA,Cidelândia,14697
MA,Codó,122859
MA,Coelho Neto,49435
MA,Colinas,41178
MA,Conceição do Lago-Açu,16237
MA,Coroatá,65296
MA,Cururupu,32695
MA,Davinópolis,12908
MA,Dom Pedro,23350
MA,Duque Bacelar,11349
MA,Esperantinópolis,17241
MA,Estreito,41946
MA,Feira Nova do Maranhão,8504
MA,Fernando Falcão,10360
MA,Formosa da Serra Negra,19089
MA,Fortaleza dos Nogueiras,12631
MA,Fortuna,15552
MA,Godofredo Viana,11819
MA,Gonçalves Dias,17934
MA,Governador Archer,10840
MA,Governador Edison Lobão,18296
MA,Governador Eugênio Barros,16828
MA,Governador Luiz Rocha,7807
MA,Governador Newton Bello,10180
MA,Governador Nunes Freire,25577
MA,Graça Aranha,6262
MA,Grajaú,69527
MA,Guimarães,12030
MA,Humberto de Campos,28717
MA,Icatu,27113
MA,Igarapé do Meio,14177
MA,Igarapé Grande,11320
MA,Imperatriz,258682
MA,Itaipava do Grajaú,16057
MA,Itapecuru Mirim,68203
MA,Itinga do Maranhão,26000
MA,Jatobá,10153
MA,Jenipapo dos Vieiras,16515
MA,João Lisboa,23632
MA,Joselândia,16168
MA,Junco do Maranhão,3432
MA,Lago da Pedra,50266
MA,Lago do Junco,10840
MA,Lago Verde,16257
MA,Lagoa do Mato,11250
MA,Lago dos Rodrigues,8873
MA,Lagoa Grande do Maranhão,11394
MA,Lajeado Novo,7550
MA,Lima Campos,11893
MA,Loreto,12157
MA,Luís Domingues,6951
MA,Magalhães de Almeida,19826
MA,Maracaçumé,21395
MA,Marajá do Sena,7792
MA,Maranhãozinho,16265
MA,Mata Roma,16829
MA,Matinha,23370
MA,Matões,33782
MA,Matões do Norte,16745
MA,Milagres do Maranhão,8464
MA,Mirador,21015
MA,Miranda do Norte,28381
MA,Mirinzal,14962
MA,Monção,33434
MA,Montes Altos,9160
MA,Morros,19433
MA,Nina Rodrigues,14454
MA,Nova Colinas,5384
MA,Nova Iorque,4683
MA,Nova Olinda do Maranhão,20928
MA,Olho d'Água das Cunhãs,19505
MA,Olinda Nova do Maranhão,14701
MA,Paço do Lumiar,122197
MA,Palmeirândia,19722
MA,Paraibano,21386
MA,Parnarama,34907
MA,Passagem Franca,19019
MA,Pastos Bons,19472
MA,Paulino Neves,16035
MA,Paulo Ramos,21040
MA,Pedreiras,39229
MA,Pedro do Rosário,25144
MA,Penalva,38470
MA,Peri Mirim,14318
MA,Peritoró,23196
MA,Pindaré-Mirim,32941
MA,Pinheiro,83387
MA,Pio XII,21485
MA,Pirapemas,18625
MA,Poção de Pedras,17873
MA,Porto Franco,23885
MA,Porto Rico do Maranhão,5975
MA,Presidente Dutra,47804
MA,Presidente Juscelino,12734
MA,Presidente Médici,7015
MA,Presidente Sarney,18918
MA,Presidente Vargas,11193
MA,Primeira Cruz,15315
MA,Raposa,30761
MA,Riachão,20195
MA,Ribamar Fiquene,7791
MA,Rosário,42740
MA,Sambaíba,5671
MA,Santa Filomena do Maranhão,7773
MA,Santa Helena,42130
MA,Santa Inês,89044
MA,Santa Luzia,72667
MA,Santa Luzia do Paruá,25254
MA,Santa Quitéria do Maranhão,25642
MA,Santa Rita,37855
MA,Santana do Maranhão,13386
MA,Santo Amaro do Maranhão,15846
MA,Santo Antônio dos Lopes,14528
MA,São Benedito do Rio Preto,18663
MA,São Bento,45211
MA,São Bernardo,28507
MA,São Domingos do Azeitão,7392
MA,São Domingos do Maranhão,34376
MA,São Félix de Balsas,4585
MA,São Francisco do Brejão,11798
MA,São Francisco do Maranhão,12210
MA,São João Batista,20665
MA,São João do Carú,15808
MA,São João do Paraíso,11177
MA,São João do Soter,18543
MA,São João dos Patos,25929
MA,São José de Ribamar,177687
MA,São José dos Basílios,7641
MA,São Luís,1101884
MA,São Luís Gonzaga do Maranhão,18856
MA,São Mateus do Maranhão,41529
MA,São Pedro da Água Branca,12690
MA,São Pedro dos Crentes,4668
MA,São Raimundo das Mangabeiras,18868
MA,São Raimundo do Doca Bezerra,5237
MA,São Roberto,6719
MA,São Vicente Ferrer,22247
MA,Satubinha,13914
MA,Senador Alexandre Costa,11141
MA,Senador La Rocque,14293
MA,Serrano do Maranhão,10253
MA,Sítio Novo,18081
MA,Sucupira do Norte,10636
MA,Sucupira do Riachão,5660
MA,Tasso Fragoso,8521
MA,Timbiras,29124
MA,Timon,169107
MA,Trizidela do Vale,21998
MA,Tufilândia,5840
MA,Tuntum,41832
MA,Turiaçu,35604
MA,Turilândia,25619
MA,Tutóia,58860
MA,Urbano Santos,33122
MA,Vargem Grande,56510
MA,Viana,52441
MA,Vila Nova dos Martírios,13392
MA,Vitória do Mearim,32764
MA,Vitorino Freire,31523
MA,Zé Doca,51714
PI,Acauã,7084
PI,Agricolândia,5139
PI,Água Branca,17411
PI,Alagoinha do Piauí,7651
PI,Alegrete do Piauí,4915
PI,Alto Longá,14304
PI,Altos,40524
PI,Alvorada do Gurguéia,5419
PI,Amarante,17598
PI,Angical do Piauí,6788
PI,Anísio de Abreu,9880
PI,Antônio Almeida,3164
PI,Aroazes,5835
PI,Aroeiras do Itaim,2551
PI,Arraial,4727
PI,Assunção do Piauí,7846
PI,Avelino Lopes,11289
PI,Baixa Grande do Ribeiro,11586
PI,Barra D'Alcântara,3951
PI,Barras,47066
PI,Barreiras do Piauí,3348
PI,Barro Duro,7032
PI,Batalha,26857
PI,Bela Vista do Piauí,4015
PI,Belém do Piauí,3566
PI,Beneditinos,10467
PI,Bertolínia,5501
PI,Betânia do Piauí,6205
PI,Boa Hora,6781
PI,Bocaina,4500
PI,Bom Jesus,25179
PI,Bom Princípio do Piauí,5630
PI,Bonfim do Piauí,5670
PI,Boqueirão do Piauí,6407
PI,Brasileira,8329
PI,Brejo do Piauí,3875
PI,Buriti dos Lopes,19781
PI,Buriti dos Montes,8244
PI,Cabeceiras do Piauí,10586
PI,Cajazeiras do Piauí,3559
PI,Cajueiro da Praia,7642
PI,Caldeirão Grande do Piauí,5776
PI,Campinas do Piauí,5613
PI,Campo Alegre do Fidalgo,5045
PI,Campo Grande do Piauí,5943
PI,Campo Largo do Piauí,7279
PI,Campo Maior,46833
PI,Canavieira,3950
PI,Canto do Buriti,21187
PI,Capitão de Campos,11417
PI,Capitão Gervásio Oliveira,4100
PI,Caracol,10916
PI,Caraúbas do Piauí,5868
PI,Caridade do Piauí,5067
PI,Castelo do Piauí,19716
PI,Caxingó,5424
PI,Cocal,27787
PI,Cocal de Telha,4891
PI,Cocal dos Alves,6153
PI,Coivaras,4020
PI,Colônia do Gurguéia,6484
PI,Colônia do Piauí,7656
PI,Conceição do Canindé,4803
PI,Coronel José Dias,4682
PI,Corrente,26644
PI,Cristalândia do Piauí,8294
PI,Cristino Castro,10423
PI,Curimatá,11388
PI,Currais,4954
PI,Curralinhos,4443
PI,Curral Novo do Piauí,5343
PI,Demerval Lobão,13817
PI,Dirceu Arcoverde,7011
PI,Dom Expedito Lopes,6904
PI,Domingos Mourão,4355
PI,Dom Inocêncio,9556
PI,Elesbão Veloso,14602
PI,Eliseu Martins,4915
PI,Esperantina,39737
PI,Fartura do Piauí,5307
PI,Flores do Piauí,4463
PI,Floresta do Piauí,2558
PI,Floriano,59935
PI,Francinópolis,5348
PI,Francisco Ayres,4348
PI,Francisco Macedo,3184
PI,Francisco Santos,9319
PI,Fronteiras,11625
PI,Geminiano,5442
PI,Gilbués,10690
PI,Guadalupe,10499
PI,Guaribas,4562
PI,Hugo Napoleão,3877
PI,Ilha Grande,9426
PI,Inhuma,15308
PI,Ipiranga do Piauí,9811
PI,Isaías Coelho,8549
PI,Itainópolis,11530
PI,Itaueira,11019
PI,Jacobina do Piauí,5741
PI,Jaicós,19104
PI,Jardim do Mulato,4504
PI,Jatobá do Piauí,4865
PI,Jerumenha,4452
PI,João Costa,3008
PI,Joaquim Pires,14354
PI,Joca Marques,5443
PI,José de Freitas,39208
PI,Juazeiro do Piauí,5478
PI,Júlio Borges,5627
PI,Jurema,4763
PI,Lagoinha do Piauí,2845
PI,Lagoa Alegre,8542
PI,Lagoa do Barro do Piauí,4655
PI,Lagoa de São Francisco,6758
PI,Lagoa do Piauí,4064
PI,Lagoa do Sítio,5177
PI,Landri Sales,5295
PI,Luís Correia,30311
PI,Luzilândia,25486
PI,Madeiro,8310
PI,Manoel Emídio,5349
PI,Marcolândia,8492
PI,Marcos Parente,4549
PI,Massapê do Piauí,6441
PI,Matias Olímpio,10936
PI,Miguel Alves,33760
PI,Miguel Leão,1246
PI,Milton Brandão,6613
PI,Monsenhor Gil,10564
PI,Monsenhor Hipólito,7749
PI,Monte Alegre do Piauí,10613
PI,Morro Cabeça no Tempo,4532
PI,Morro do Chapéu do Piauí,6796
PI,Murici dos Portelas,9159
PI,Nazaré do Piauí,7339
PI,Nazária,8570
PI,Nossa Senhora de Nazaré,4870
PI,Nossa Senhora dos Remédios,8692
PI,Novo Oriente do Piauí,6565
PI,Novo Santo Antônio,2991
PI,Oeiras,37029
PI,Olho D'Água do Piauí,2459
PI,Padre Marcos,6868
PI,Paes Landim,4129
PI,Pajeú do Piauí,3389
PI,Palmeira do Piauí,5043
PI,Palmeirais,14539
PI,Paquetá,3945
PI,Parnaguá,10791
PI,Parnaíba,153078
PI,Passagem Franca do Piauí,4313
PI,Patos do Piauí,6392
PI,Pau D'Arco do Piauí,4045
PI,Paulistana,20523
PI,Pavussu,3677
PI,Pedro II,38742
PI,Pedro Laurentino,2536
PI,Nova Santa Rita,4374
PI,Picos,78222
PI,Pimenteiras,12127
PI,Pio IX,18425
PI,Piracuruca,28791
PI,Piripiri,63742
PI,Porto,12568
PI,Porto Alegre do Piauí,2710
PI,Prata do Piauí,3151
PI,Queimada Nova,8992
PI,Redenção do Gurguéia,8778
PI,Regeneração,17978
PI,Riacho Frio,4312
PI,Ribeira do Piauí,4477
PI,Ribeiro Gonçalves,7341
PI,Rio Grande do Piauí,6432
PI,Santa Cruz do Piauí,6240
PI,Santa Cruz dos Milagres,4019
PI,Santa Filomena,6253
PI,Santa Luz,5860
PI,Santana do Piauí,4634
PI,Santa Rosa do Piauí,5257
PI,Santo Antônio de Lisboa,6415
PI,Santo Antônio dos Milagres,2161
PI,Santo Inácio do Piauí,3798
PI,São Braz do Piauí,4448
PI,São Félix do Piauí,2942
PI,São Francisco de Assis do Piauí,5755
PI,São Francisco do Piauí,6423
PI,São Gonçalo do Gurguéia,3041
PI,São Gonçalo do Piauí,5015
PI,São João da Canabrava,4608
PI,São João da Fronteira,6042
PI,São João da Serra,6139
PI,São João da Varjota,4840
PI,São João do Arraial,7989
PI,São João do Piauí,20601
PI,São José do Divino,5346
PI,São José do Peixe,3745
PI,São José do Piauí,6705
PI,São Julião,6363
PI,São Lourenço do Piauí,4573
PI,São Luis do Piauí,2644
PI,São Miguel da Baixa Grande,2452
PI,São Miguel do Fidalgo,3039
PI,São Miguel do Tapuio,17662
PI,São Pedro do Piauí,14291
PI,São Raimundo Nonato,34710
PI,Sebastião Barros,3469
PI,Sebastião Leal,4294
PI,Sigefredo Pacheco,10041
PI,Simões,14633
PI,Simplício Mendes,12711
PI,Socorro do Piauí,4569
PI,Sussuapara,6730
PI,Tamboril do Piauí,2919
PI,Tanque do Piauí,2765
PI,Teresina,864845
PI,União,44485
PI,Uruçuí,21558
PI,Valença do Piauí,20918
PI,Várzea Branca,4947
PI,Várzea Grande,4391
PI,Vera Mendes,3077
PI,Vila Nova do Piauí,2971
PI,Wall Ferraz,4462
CE,Abaiara,11737
CE,Acarape,14929
CE,Acaraú,62641
CE,Acopiara,54270
CE,Aiuaba,17399
CE,Alcântaras,11714
CE,Altaneira,7586
CE,Alto Santo,17146
CE,Amontada,43452
CE,Antonina do Norte,7353
CE,Apuiarés,14600
CE,Aquiraz,80271
CE,Aracati,74547
CE,Aracoiaba,26469
CE,Ararendá,10935
CE,Araripe,21600
CE,Aratuba,11847
CE,Arneiroz,7840
CE,Assaré,23417
CE,Aurora,24654
CE,Baixio,6288
CE,Banabuiú,18197
CE,Barbalha,59732
CE,Barreira,22425
CE,Barro,22680
CE,Barroquinha,15017
CE,Baturité,35750
CE,Beberibe,53573
CE,Bela Cruz,32591
CE,Boa Viagem,54470
CE,Brejo Santo,49477
CE,Camocim,63661
CE,Campos Sales,27426
CE,Canindé,76997
CE,Capistrano,17738
CE,Caridade,22547
CE,Cariré,18448
CE,Caririaçu,26965
CE,Cariús,18699
CE,Carnaubal,17606
CE,Cascavel,71743
CE,Catarina,20698
CE,Catunda,10342
CE,Caucaia,361400
CE,Cedro,25557
CE,Chaval,13069
CE,Choró,13521
CE,Chorozinho,20264
CE,Coreaú,23136
CE,Crateús,75074
CE,Crato,132123
CE,Croatá,18063
CE,Cruz,24827
CE,Deputado Irapuan Pinheiro,9625
CE,Ererê,7198
CE,Eusébio,53618
CE,Farias Brito,19450
CE,Forquilha,24218
CE,Fortaleza,2669342
CE,Fortim,16480
CE,Frecheirinha,14072
CE,General Sampaio,7618
CE,Graça,14399
CE,Granja,54748
CE,Granjeiro,4844
CE,Groaíras,11068
CE,Guaiúba,26064
CE,Guaraciaba do Norte,40642
CE,Guaramiranga,5193
CE,Hidrolândia,19978
CE,Horizonte,67337
CE,Ibaretama,13353
CE,Ibiapina,24997
