,uf,city,estimated_population
429,TO,Santa Tereza do Tocantins,2866
430,TO,Santa Terezinha do Tocantins,2529
431,TO,São Bento do Tocantins,5324
432,TO,São Félix do Tocantins,1585
433,TO,São Miguel do Tocantins,12139
434,TO,São Salvador do Tocantins,3082
435,TO,São Sebastião do Tocantins,4805
436,TO,São Valério,3960
437,TO,Silvanópolis,5403
438,TO,Sítio Novo do Tocantins,9029
439,TO,Sucupira,1966
440,TO,Taguatinga,16683
441,TO,Taipas do Tocantins,2148
442,TO,Talismã,2793
443,TO,Palmas,299127
444,TO,Tocantínia,7545
445,TO,Tocantinópolis,22870
446,TO,Tupirama,1891
447,TO,Tupiratins,2671
448,TO,Wanderlândia,11683
449,TO,Xambioá,11540
450,MA,Açailândia,112445
451,MA,Afonso Cunha,6524
452,MA,Água Doce do Maranhão,12571
453,MA,Alcântara,22097
454,MA,Aldeias Altas,26532
455,MA,Altamira do Maranhão,8128
456,MA,Alto Alegre do Maranhão,27053
457,MA,Alto Alegre do Pindaré,31919
458,MA,Alto Parnaíba,11190
459,MA,Amapá do Maranhão,6962
460,MA,Amarante do Maranhão,41435
461,MA,Anajatuba,26803
462,MA,Anapurus,15732
463,MA,Apicum-Açu,17239
464,MA,Araguanã,15426
465,MA,Araioses,46440
466,MA,Arame,32701
467,MA,Arari,29848
468,MA,Axixá,12130
469,MA,Bacabal,104949
470,MA,Bacabeira,17055
471,MA,Bacuri,18582
472,MA,Bacurituba,5644
473,MA,Balsas,94887
474,MA,Barão de Grajaú,18820
475,MA,Barra do Corda,88212
476,MA,Barreirinhas,62528
477,MA,Belágua,7469
478,MA,Bela Vista do Maranhão,11209
479,MA,Benedito Leite,5632
480,MA,Bequimão,21280
481,MA,Bernardo do Mearim,6043
482,MA,Boa Vista do Gurupi,9287
483,MA,Bom Jardim,41630
484,MA,Bom Jesus das Selvas,34028
485,MA,Bom Lugar,16294
486,MA,Brejo,36397
487,MA,Brejo de Areia,9188
488,MA,Buriti,28678
489,MA,Buriti Bravo,23884
490,MA,Buriticupu,72358
491,MA,Buritirana,15430
492,MA,Cachoeira Grande,9431
493,MA,Cajapió,11177
494,MA,Cajari,19379
495,MA,Campestre do Maranhão,14374
496,MA,Cândido Mendes,20178
497,MA,Cantanhede,21995
498,MA,Capinzal do Norte,10934
499,MA,Carolina,24322
500,MA,Carutapera,23807
501,MA,Caxias,164880
502,MA,Cedral,10675
503,MA,Central do Maranhão,8673
