CNES;IBGE;leito_sus_cirurgicos;leito_sus_clinicos;leito_sus_gineco_obs;leito_sus_isolamento;leito_sus_outrasespec;leito_sus_pediatricos;leito_sus_uci;leito_sus_uti
2012359;130260;0;0;0;0;0;0;0;0
2012464;130260;3;2;0;0;0;0;0;5
2012472;130260;3;0;0;4;0;49;6;14
2012480;130260;4;0;46;0;0;3;8;5
2012677;130260;49;19;7;13;8;8;0;11
2012685;130260;127;65;0;14;0;0;0;12
2013029;130260;0;0;24;0;0;2;7;0
2013509;130260;0;0;0;0;0;0;0;0
2013606;130260;0;64;0;6;2;14;0;17
2013649;130260;181;154;0;11;3;0;0;40
2017199;130260;0;0;0;0;0;0;0;0
2017245;130260;0;0;0;0;0;0;0;0
2017318;130260;4;0;39;3;0;6;10;4
2017431;130260;0;0;0;0;0;108;0;22
2017644;130260;91;56;0;0;0;0;0;12
2017792;130260;0;0;0;0;0;0;0;0
2017849;130260;0;0;0;3;0;50;2;5
2018004;130260;0;0;0;0;0;0;0;0
2018012;130260;0;0;0;0;0;0;0;0
2018055;130260;11;5;0;0;0;1;0;7
2018071;130260;12;0;0;3;0;40;0;10
2018098;130260;0;55;0;0;0;0;0;5
2018101;130260;6;76;0;0;0;0;0;0
2018365;130260;0;0;0;0;0;0;0;0
2018373;130260;0;0;0;0;0;0;0;0
2018403;130260;35;58;0;5;0;22;0;32
2019558;130260;0;0;53;3;0;18;30;17
2019566;130260;0;27;34;2;0;2;0;0
2019574;130260;115;72;0;2;0;0;0;28
2019590;130260;0;0;0;0;28;0;0;0
3004104;130260;2;2;47;6;0;10;8;5
3151794;130260;7;0;108;6;0;28;35;30
3360377;130260;0;0;0;0;0;0;0;0
5169976;130260;75;76;0;9;0;25;0;16
6627595;130260;0;12;110;8;0;8;27;10
7564546;130260;28;26;0;2;1;27;0;40
9115153;130260;0;0;0;0;0;0;0;0
9193774;130260;0;0;0;0;0;0;0;0
9344314;130260;0;0;0;0;0;0;0;0
9697217;130260;0;0;0;0;0;0;0;0
2014688;130270;11;11;26;0;0;12;0;0
2017660;130280;4;5;5;1;0;5;0;0
2018144;130290;15;34;26;0;0;15;0;0
2016540;130300;2;8;5;1;0;4;0;0
