Time,Occupied_beds,ICU_Occupied_beds,Median_beds,ICU_Median_beds,Beds_5_percent,ICU_Beds_5_percent,Beds_95_percent,ICU_Beds_95_percent,Queue,Median_queue,Queue_5_percent,Queue_95_percent,ICU_Queue,ICU_Median_queue,ICU_Queue_5_percent,ICU_Queue_95_percent
117,150,6,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3165,2642.0,615.2,4630.2,0,0.0,0.0,0.0
118,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3200,2642.0,615.2,4630.2,0,0.0,0.0,0.0
119,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3229,2642.0,615.2,4630.2,0,0.0,0.0,0.0
120,150,14,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3246,2642.0,615.2,4630.2,0,0.0,0.0,0.0
121,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3288,2642.0,615.2,4630.2,0,0.0,0.0,0.0
122,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3321,2642.0,615.2,4630.2,0,0.0,0.0,0.0
123,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3339,2642.0,615.2,4630.2,0,0.0,0.0,0.0
124,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3363,2642.0,615.2,4630.2,0,0.0,0.0,0.0
125,150,16,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3389,2642.0,615.2,4630.2,0,0.0,0.0,0.0
126,150,16,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3420,2642.0,615.2,4630.2,0,0.0,0.0,0.0
127,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3456,2642.0,615.2,4630.2,0,0.0,0.0,0.0
128,150,13,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3500,2642.0,615.2,4630.2,0,0.0,0.0,0.0
129,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3534,2642.0,615.2,4630.2,0,0.0,0.0,0.0
130,150,7,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3553,2642.0,615.2,4630.2,0,0.0,0.0,0.0
131,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3564,2642.0,615.2,4630.2,0,0.0,0.0,0.0
132,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3590,2642.0,615.2,4630.2,0,0.0,0.0,0.0
133,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3618,2642.0,615.2,4630.2,0,0.0,0.0,0.0
134,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3640,2642.0,615.2,4630.2,0,0.0,0.0,0.0
135,150,8,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3654,2642.0,615.2,4630.2,0,0.0,0.0,0.0
136,150,9,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3687,2642.0,615.2,4630.2,0,0.0,0.0,0.0
137,150,10,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3716,2642.0,615.2,4630.2,0,0.0,0.0,0.0
138,150,11,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3753,2642.0,615.2,4630.2,0,0.0,0.0,0.0
139,150,12,150.0,12.0,150.0,7.95,150.0,16.049999999999983,3760,2642.0,615.2,4630.2,0,0.0,0.0,0.0
